"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_lr","params_n_decoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold16_mae","user_attrs_fold16_mape","user_attrs_fold16_ndcg10","user_attrs_fold16_ndcg20","user_attrs_fold16_ndcg50","user_attrs_fold16_r2","user_attrs_fold17_mae","user_attrs_fold17_mape","user_attrs_fold17_ndcg10","user_attrs_fold17_ndcg20","user_attrs_fold17_ndcg50","user_attrs_fold17_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","system_attrs_completed_rung_2","state"
0,0.1477792657473508,"2025-05-16 21:01:35.700836","2025-05-16 21:01:39.291246","0 days 00:00:03.590410",192,128.0,"","","",0.009436203670216217,2,0.1477792657473508,4208.184349957634,0.48395331631250244,0.5162848179392955,0.5855194746571428,-0.3394079839482027,0.13041658699512482,506.9031677246094,0.5366218090057373,0.5269038081169128,0.5320520997047424,0.1099652647972107,0.09723473340272903,1006.6829833984375,0.39258289337158203,0.6340545415878296,0.755419135093689,0.4533381462097168,0.16188901662826538,225.5502166748047,0.6194478869438171,0.6146528720855713,0.6549606323242188,0.20611786842346191,0.15507157146930695,70.15050506591797,0.4289344549179077,0.584007740020752,0.5888258218765259,0.03196978569030762,0.11665407568216324,184.7291259765625,0.5877164602279663,0.5743234753608704,0.5452995300292969,-0.0012472867965698242,0.1063273623585701,79.46969604492188,0.4817146956920624,0.5108413696289062,0.6236584186553955,0.108523428440094,0.20221062004566193,191.6827392578125,0.6658233404159546,0.5496800541877747,0.6203000545501709,0.05302160978317261,0.11557327210903168,158.01950073242188,0.2465566098690033,0.3122805655002594,0.4253205358982086,-0.46086418628692627,0.13685661554336548,64.66018676757812,0.7105631232261658,0.6973007321357727,0.7777101993560791,0.05324512720108032,0.21785971522331238,3456.79248046875,0.4465741217136383,0.5270900130271912,0.7576964497566223,-0.03803861141204834,0.1466115564107895,74.29454040527344,0.5363888144493103,0.6306524872779846,0.6718046069145203,-0.24912631511688232,0.12531842291355133,69.43794250488281,0.7376676201820374,0.7172848582267761,0.7565305829048157,0.15432167053222656,0.11864873021841049,56652.28125,0.0945107564330101,0.29338204860687256,0.31989121437072754,-0.5109671354293823,0.09546768665313721,463.58770751953125,0.3344493508338928,0.42693400382995605,0.5330538153648376,-0.0030372142791748047,0.14485733211040497,314.14697265625,0.5044420957565308,0.39835482835769653,0.5685626864433289,0.02667248249053955,0.32865190505981445,7672.39453125,0.020902251824736595,0.014198895543813705,0.08415200561285019,-6.082815170288086,0.11259831488132477,348.35040283203125,0.8823100924491882,0.7648996114730835,0.7385932803153992,0.37898480892181396,0.0,"","","","COMPLETE"
1,0.15012024737456264,"2025-05-16 21:01:39.291601","2025-05-16 21:01:42.773308","0 days 00:00:03.481707",96,32.0,176.0,128.0,"",0.00014127309026770713,4,0.15012024737456264,2459.5854577457203,0.3392359993475325,0.3546871437745936,0.4083105693845188,-0.30105336624033313,0.1256561130285263,362.41265869140625,0.04069184139370918,0.06636345386505127,0.18266534805297852,-0.09720098972320557,0.12107506394386292,1351.590576171875,0.38902267813682556,0.560294508934021,0.7029128670692444,0.06308978796005249,0.1939733475446701,175.38218688964844,0.18518222868442535,0.20901310443878174,0.21268489956855774,-0.26281487941741943,0.2143598049879074,63.49477005004883,0.22967809438705444,0.23507444560527802,0.25722432136535645,-0.7481657266616821,0.11784357577562332,99.55061340332031,0.11020693182945251,0.12706196308135986,0.21942734718322754,-0.2826613187789917,0.1340014934539795,62.29395294189453,0.26548245549201965,0.31746354699134827,0.39807477593421936,-0.462543249130249,0.24374046921730042,126.69398498535156,0.1339729279279709,0.1588209867477417,0.15901300311088562,-0.473091721534729,0.10851097106933594,82.70137023925781,0.24442890286445618,0.2172941416501999,0.21503609418869019,-0.3137861490249634,0.17895808815956116,58.95065689086914,0.6877294778823853,0.638212263584137,0.6723165512084961,-0.7345163822174072,0.21763566136360168,2199.403076171875,0.3877769410610199,0.39041414856910706,0.6578637361526489,-0.2304084300994873,0.15003889799118042,56.48161697387695,0.6590190529823303,0.6174256205558777,0.6614920496940613,-0.5627655982971191,0.1627914309501648,54.755008697509766,0.43447205424308777,0.5711933374404907,0.644294261932373,-0.5190294981002808,0.08840685337781906,34130.8046875,0.5282118320465088,0.5085229873657227,0.5098674297332764,-0.01875162124633789,0.10299629718065262,577.7501831054688,0.2771871089935303,0.2791907787322998,0.34289392828941345,-0.12478816509246826,0.15017841756343842,301.1390380859375,0.34642475843429565,0.30598220229148865,0.3438397943973541,-0.16270136833190918,0.1170491948723793,1845.861572265625,0.29682058095932007,0.28176432847976685,0.22201776504516602,-0.06395614147186279,0.1248285248875618,263.68682861328125,0.5507041215896606,0.5455896258354187,0.5396555066108704,-0.12381577491760254,0.0,0.11202436685562134,0.11868003010749817,0.12813785672187805,"COMPLETE"
2,0.14270903915166855,"2025-05-16 21:01:42.773704","2025-05-16 21:01:46.349120","0 days 00:00:03.575416",160,192.0,"","","",0.0026901805678908788,2,0.14270903915166855,4986.579004624311,0.5617323263603098,0.5757259095416349,0.6045827024123248,-0.14562703932032867,0.13333912193775177,526.633056640625,0.3603515028953552,0.39104190468788147,0.488199919462204,0.058493852615356445,0.11312916874885559,1512.3514404296875,0.3548276424407959,0.5859222412109375,0.7357938289642334,0.4205392599105835,0.1592998206615448,253.66720581054688,0.7287630438804626,0.715715229511261,0.6820021271705627,0.3078995943069458,0.15354877710342407,71.2782974243164,0.5818061828613281,0.5623583197593689,0.5617782473564148,0.09845954179763794,0.1081855446100235,158.22555541992188,0.6418544054031372,0.6183791756629944,0.5873328447341919,0.14895814657211304,0.10447582602500916,78.87266540527344,0.6062217950820923,0.6670435070991516,0.6997981071472168,0.1631520390510559,0.18785947561264038,193.0289306640625,0.8880629539489746,0.892808735370636,0.6799009442329407,0.23335695266723633,0.12110625207424164,184.24046325683594,0.47040167450904846,0.42289888858795166,0.47907117009162903,-0.44380664825439453,0.1300412118434906,64.1482925415039,0.7297849059104919,0.7027603983879089,0.7832834124565125,0.08270686864852905,0.20696187019348145,3299.889404296875,0.47318097949028015,0.5941786766052246,0.7664207220077515,-0.0017298460006713867,0.14580361545085907,77.64407348632812,0.47911879420280457,0.578575611114502,0.6667047739028931,-0.24034297466278076,0.10976795107126236,63.38340759277344,0.6575574278831482,0.6916682720184326,0.7445377707481384,0.3102560043334961,0.12030153721570969,71203.765625,0.16275687515735626,0.3278947174549103,0.3603161871433258,-0.3119797706604004,0.11102195829153061,756.6778564453125,0.4135855436325073,0.4211385250091553,0.4783291220664978,-0.126869797706604,0.14407531917095184,307.62139892578125,0.5044420957565308,0.39257070422172546,0.5457950830459595,0.029882311820983887,0.2604065239429474,5624.169921875,0.5987970232963562,0.4316774308681488,0.2684686481952667,-3.587045192718506,0.11672969162464142,396.2454833984375,0.8979367017745972,0.7907081246376038,0.750173032283783,0.3824099898338318,0.0,0.07167918980121613,0.06414628028869629,0.07111428678035736,"COMPLETE"
3,0.12805180251598358,"2025-05-16 21:01:46.349505","2025-05-16 21:01:46.864370","0 days 00:00:00.514865",224,160.0,16.0,64.0,240.0,0.00010926111862147569,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1794940084218979,59.47792434692383,0.6263533234596252,0.6320398449897766,0.6804959177970886,-0.7320181131362915,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12805180251598358,"","","PRUNED"
4,0.09927725791931152,"2025-05-16 21:01:46.864617","2025-05-16 21:01:47.183693","0 days 00:00:00.319076",64,"","","","",0.000468857341633353,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14759095013141632,54.737274169921875,0.7247506380081177,0.65268474817276,0.7646794319152832,-0.18403255939483643,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09927725791931152,"","","PRUNED"
5,0.12876825034618378,"2025-05-16 21:01:47.183901","2025-05-16 21:01:47.717925","0 days 00:00:00.534024",224,80.0,240.0,240.0,"",0.021757258092725246,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1792973130941391,58.71045684814453,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.7521698474884033,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12876825034618378,"","","PRUNED"
6,0.09098529070615768,"2025-05-16 21:01:47.718185","2025-05-16 21:01:48.152740","0 days 00:00:00.434555",256,"","","","",0.0008979589107842844,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1358165442943573,59.3153076171875,0.691261351108551,0.7277334332466125,0.7642393708229065,0.0635063648223877,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09098529070615768,"","","PRUNED"
7,0.10387576371431351,"2025-05-16 21:01:48.152955","2025-05-16 21:01:48.502807","0 days 00:00:00.349852",112,"","","","",0.00014679688443921743,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16663125157356262,57.164878845214844,0.6397318840026855,0.628955066204071,0.6450917720794678,-0.518997073173523,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10387576371431351,"","","PRUNED"
8,0.06792651116847992,"2025-05-16 21:01:48.503016","2025-05-16 21:01:49.843974","0 days 00:00:01.340958",208,224.0,256.0,32.0,"",0.008775194317511609,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1357789933681488,67.01557922363281,0.6669038534164429,0.6503683924674988,0.7270175814628601,0.01515054702758789,0.23678360879421234,4831.439453125,0.4248931109905243,0.4839158356189728,0.7422583699226379,-0.26256561279296875,0.1455264687538147,82.58370971679688,0.47787216305732727,0.5948167443275452,0.6762248277664185,-0.2620818614959717,0.1201326921582222,65.00176239013672,0.7494000792503357,0.7332186102867126,0.7658969163894653,0.19043415784835815,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.07512921094894409,0.06792651116847992,"","PRUNED"
9,0.09799468517303467,"2025-05-16 21:01:49.844222","2025-05-16 21:01:50.247336","0 days 00:00:00.403114",224,"","","","",0.0002554939703370013,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15707126259803772,57.66527557373047,0.631918728351593,0.6605321764945984,0.727331280708313,-0.28655850887298584,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09799468517303467,"","","PRUNED"
10,0.13178065419197083,"2025-05-16 21:01:50.247552","2025-05-16 21:01:50.618112","0 days 00:00:00.370560",16,256.0,48.0,"","",0.09725929748821976,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18784233927726746,63.99756622314453,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.8281562328338623,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13178065419197083,"","","PRUNED"
11,0.06873883306980133,"2025-05-16 21:01:50.618346","2025-05-16 21:01:51.659673","0 days 00:00:01.041327",160,160.0,"","","",0.003295541498500011,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13044218719005585,63.44408416748047,0.7194103002548218,0.6912392973899841,0.7781765460968018,0.06924819946289062,0.20544008910655975,3181.292236328125,0.5417415499687195,0.5518409013748169,0.7764666080474854,0.0005830526351928711,0.15183807909488678,81.77818298339844,0.5047438144683838,0.553575336933136,0.652400553226471,-0.265580415725708,0.11897705495357513,66.20538330078125,0.7730911374092102,0.7382504343986511,0.7864672541618347,0.2549024224281311,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0699528232216835,0.06873883306980133,"","PRUNED"
12,0.07653969526290894,"2025-05-16 21:01:51.659911","2025-05-16 21:01:52.729556","0 days 00:00:01.069645",160,128.0,"","","",0.0016592721731179742,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13722984492778778,63.576412200927734,0.734195351600647,0.7231449484825134,0.7663673758506775,0.021951913833618164,0.22031237185001373,3414.192138671875,0.45588117837905884,0.533589243888855,0.7564519643783569,-0.08781814575195312,0.13893675804138184,77.84813690185547,0.5007057785987854,0.5956621170043945,0.643667995929718,-0.13569402694702148,0.13037098944187164,66.44926452636719,0.7013536095619202,0.6684885025024414,0.7434600591659546,0.13795018196105957,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0677325427532196,0.07653969526290894,"","PRUNED"
13,0.0650261864066124,"2025-05-16 21:01:52.729796","2025-05-16 21:01:53.793655","0 days 00:00:01.063859",176,192.0,"","","",0.00716154076513331,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14059139788150787,65.54914855957031,0.6923964023590088,0.7098627686500549,0.7489597797393799,-0.012984871864318848,0.19834661483764648,2839.822265625,0.5109630823135376,0.5713793039321899,0.7806729674339294,0.05235695838928223,0.14549021422863007,73.49696350097656,0.5472460389137268,0.5808024406433105,0.6890156269073486,-0.2678929567337036,0.12394289672374725,72.61051177978516,0.748784601688385,0.7331693768501282,0.776379406452179,0.20281922817230225,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.06738743185997009,0.0650261864066124,"","PRUNED"
14,0.12884612381458282,"2025-05-16 21:01:53.793892","2025-05-16 21:01:54.232874","0 days 00:00:00.438982",128,112.0,112.0,"","",0.02931853024260759,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14272001385688782,62.0216178894043,0.6344237923622131,0.658180296421051,0.715721070766449,-0.07539725303649902,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12884612381458282,"","","PRUNED"
15,0.0669202134013176,"2025-05-16 21:01:54.233105","2025-05-16 21:01:55.312270","0 days 00:00:01.079165",192,192.0,"","","",0.0039052457207701266,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1326879858970642,67.09832763671875,0.7078944444656372,0.6924958825111389,0.7664895057678223,0.00796520709991455,0.2048044055700302,2341.0703125,0.5189040899276733,0.5901455283164978,0.7913685441017151,0.01876145601272583,0.1476016640663147,81.19310760498047,0.5514373779296875,0.591456413269043,0.6753354072570801,-0.24515271186828613,0.11410074681043625,57.02593994140625,0.7753305435180664,0.7566984295845032,0.7923216223716736,0.24143916368484497,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.060945626348257065,0.0669202134013176,"","PRUNED"
16,0.08757990598678589,"2025-05-16 21:01:55.312502","2025-05-16 21:01:55.751136","0 days 00:00:00.438634",144,80.0,112.0,"","",0.01631757982930027,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13418839871883392,66.18104553222656,0.6536660194396973,0.7088718414306641,0.7743780612945557,0.06582283973693848,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.08757990598678589,"","","PRUNED"
17,0.07574455440044403,"2025-05-16 21:01:55.751361","2025-05-16 21:01:56.132085","0 days 00:00:00.380724",80,192.0,"","","",0.0013651446245243868,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13960906863212585,62.74018096923828,0.6703500747680664,0.691777229309082,0.7486539483070374,0.02947998046875,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.07574455440044403,"","","PRUNED"
18,0.11406140774488449,"2025-05-16 21:01:56.132308","2025-05-16 21:01:56.614400","0 days 00:00:00.482092",256,96.0,"","","",0.06832523873664711,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1881508082151413,64.1980209350586,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.8308783769607544,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11406140774488449,"","","PRUNED"
19,0.07832419872283936,"2025-05-16 21:01:56.614631","2025-05-16 21:01:57.537517","0 days 00:00:00.922886",48,32.0,176.0,"","",0.008075360593025003,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13460442423820496,65.41288757324219,0.688435971736908,0.7082287073135376,0.7524572610855103,0.011656522750854492,0.23490417003631592,4461.150390625,0.4199947416782379,0.509671688079834,0.7408097386360168,-0.2677938938140869,0.15150868892669678,78.39307403564453,0.4346503019332886,0.5499327182769775,0.6369179487228394,-0.317152738571167,0.12970943748950958,70.02336120605469,0.7415092587471008,0.7169223427772522,0.7589259743690491,0.1529017686843872,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.06896838545799255,0.07832419872283936,"","PRUNED"
20,0.07548364251852036,"2025-05-16 21:01:57.537762","2025-05-16 21:01:58.010162","0 days 00:00:00.472400",192,160.0,80.0,"","",0.0019867449913325,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13280777633190155,65.33948516845703,0.6617516875267029,0.7208271622657776,0.7551839351654053,0.027160584926605225,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.07548364251852036,"","","PRUNED"
21,0.10168900340795517,"2025-05-16 21:01:58.010402","2025-05-16 21:01:58.463214","0 days 00:00:00.452812",96,16.0,176.0,160.0,"",0.000559654823004354,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1494450718164444,58.70021057128906,0.6430115103721619,0.690710723400116,0.7318114638328552,-0.14773643016815186,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10168900340795517,"","","PRUNED"
22,0.11379634588956833,"2025-05-16 21:01:58.463441","2025-05-16 21:01:58.934545","0 days 00:00:00.471104",128,48.0,192.0,144.0,16.0,0.04029105167612379,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15059079229831696,69.5284652709961,0.6363245248794556,0.6888708472251892,0.7243980169296265,-0.015919089317321777,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11379634588956833,"","","PRUNED"
23,0.07749687135219574,"2025-05-16 21:01:58.934786","2025-05-16 21:01:59.447496","0 days 00:00:00.512710",144,64.0,208.0,208.0,"",0.011981312877347966,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13424478471279144,66.94369506835938,0.7590466141700745,0.6940229535102844,0.7729257345199585,0.1373603343963623,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.07749687135219574,"","","PRUNED"
24,0.07294795662164688,"2025-05-16 21:01:59.447757","2025-05-16 21:02:00.607988","0 days 00:00:01.160231",96,224.0,128.0,80.0,80.0,0.004837268846940564,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1438886821269989,60.267234802246094,0.7248270511627197,0.7298060655593872,0.7611479759216309,-0.053056955337524414,0.22269728779792786,3456.761962890625,0.4251070022583008,0.5388520956039429,0.7425233125686646,-0.15242183208465576,0.15052670240402222,84.18840789794922,0.4383504092693329,0.5603631138801575,0.6401500105857849,-0.2588268518447876,0.11470794677734375,65.31649780273438,0.7304775714874268,0.7342212200164795,0.7647329568862915,0.28469258546829224,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.06651804596185684,0.07294795662164688,"","PRUNED"
25,0.10467935353517532,"2025-05-16 21:02:00.608254","2025-05-16 21:02:01.068331","0 days 00:00:00.460077",176,128.0,160.0,"","",0.0003322368793353073,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14484937489032745,59.54277420043945,0.7307996153831482,0.6714616417884827,0.7476885318756104,-0.05741739273071289,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10467935353517532,"","","PRUNED"
26,0.07258440554141998,"2025-05-16 21:02:01.068560","2025-05-16 21:02:01.515057","0 days 00:00:00.446497",48,256.0,224.0,112.0,"",0.0027563714998947685,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1487264335155487,68.4345932006836,0.7030256986618042,0.6677472591400146,0.7533071637153625,-0.0782996416091919,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.07258440554141998,"","","PRUNED"
27,0.07825535535812378,"2025-05-16 21:02:01.515304","2025-05-16 21:02:01.910422","0 days 00:00:00.395118",112,224.0,"","","",0.001058503949556677,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1407424956560135,63.11165237426758,0.6855224370956421,0.6939822435379028,0.7565522193908691,0.027885019779205322,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.07825535535812378,"","","PRUNED"
28,0.09818144142627716,"2025-05-16 21:02:01.910649","2025-05-16 21:02:02.315719","0 days 00:00:00.405070",160,"","","","",0.000722461750467921,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14227008819580078,57.259220123291016,0.7267075181007385,0.7069763541221619,0.7739459276199341,-0.046254515647888184,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09818144142627716,"","","PRUNED"
29,0.12786729633808136,"2025-05-16 21:02:02.315936","2025-05-16 21:02:02.878477","0 days 00:00:00.562541",240,16.0,144.0,192.0,224.0,0.00014589741195603412,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18065255880355835,60.191368103027344,0.57887864112854,0.6150766611099243,0.6961816549301147,-0.7403185367584229,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12786729633808136,"","","PRUNED"
