"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_encoder_layer_width_0","params_encoder_layer_width_1","params_encoder_layer_width_2","params_encoder_layer_width_3","params_encoder_layer_width_4","params_gatv2_dropout","params_gatv2_heads","params_lr","params_n_decoder_layers","params_n_encoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","state"
0,0.1561662048101425,"2025-05-16 15:34:51.710555","2025-05-16 15:35:37.213649","0 days 00:00:45.503094",240,32.0,"","","",256,32.0,240.0,112.0,"",0.5,13,0.09875150953467308,2,4,0.1561662048101425,414.72461624145507,0.2462010256946087,0.29975759809215863,0.3645697539672256,-0.3767239491144816,0.20048829913139343,124.93560028076172,0.37938931584358215,0.4339168965816498,0.3819175958633423,-0.38453006744384766,0.22022365033626556,65.66989135742188,0.38391774892807007,0.4002876281738281,0.3655586540699005,-0.7986130714416504,0.12701593339443207,78.20258331298828,0.18742690980434418,0.28259921073913574,0.2967640161514282,-0.43671727180480957,0.13226257264614105,63.54620361328125,0.42674726247787476,0.3965179920196533,0.4997186064720154,-0.43748950958251953,0.24563299119472504,112.97369384765625,0.4681253135204315,0.6776140928268433,0.5763584971427917,-0.5022914409637451,0.11012862622737885,79.48715209960938,0.16633036732673645,0.3710179030895233,0.43047839403152466,-0.3463505506515503,0.18312999606132507,60.93522262573242,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.7871259450912476,0.21598492562770844,1002.82763671875,0.5616838932037354,0.40270331501960754,0.723856508731842,-0.4260845184326172,0.14636225998401642,55.77180862426758,0.15729229152202606,0.44170698523521423,0.5248095989227295,-0.5446946620941162,0.16238988935947418,54.7172966003418,0.14052796363830566,0.1728532761335373,0.4216603934764862,-0.5295459032058716,0.10382102429866791,577.7401733398438,0.10077051818370819,0.16893522441387177,0.19974727928638458,-0.14148998260498047,0.11171898245811462,1710.194580078125,0.01697789691388607,0.00923118181526661,0.01368717197328806,-0.04181015491485596,0.1263071596622467,304.3331298828125,0.1929292529821396,0.17804193496704102,0.2638821005821228,-0.1403442621231079,0.12610460817813873,375.4628601074219,0.17855799198150635,0.1929423213005066,0.3449734151363373,-0.08903133869171143,0.13092215359210968,1554.0714111328125,0.024402735754847527,0.028759272769093513,0.04012559354305267,-0.04474055767059326,5.0,"","","COMPLETE"
1,0.15207312107086182,"2025-05-16 15:35:37.214425","2025-05-16 15:35:47.775351","0 days 00:00:10.560926",240,96.0,160.0,224.0,128.0,112,16.0,48.0,128.0,176.0,0.1,2,0.0002394705899078901,5,5,0.15207312107086182,365.22879791259766,0.4105059839785099,0.412652916709582,0.4472625176111857,-0.32823474407196046,0.1960178166627884,220.07591247558594,0.45536670088768005,0.438951700925827,0.33612653613090515,-0.2100226879119873,0.1937020868062973,61.724430084228516,0.2660205662250519,0.25714316964149475,0.26587551832199097,-0.5548731088638306,0.11507148295640945,182.7158966064453,0.12786434590816498,0.12682540714740753,0.21345360577106476,-0.04638493061065674,0.12233489006757736,77.86827087402344,0.2770703136920929,0.30329975485801697,0.39179661870002747,-0.27582240104675293,0.23880822956562042,209.42755126953125,0.32217279076576233,0.328752338886261,0.2918429970741272,-0.28434741497039795,0.10581853985786438,89.65542602539062,0.2892400622367859,0.2663671374320984,0.3156871199607849,-0.25933992862701416,0.15364402532577515,46.19143295288086,0.7190753221511841,0.6844194531440735,0.6514258980751038,-0.5300488471984863,0.21325452625751495,1222.548828125,0.35369232296943665,0.5366882681846619,0.7015379071235657,-0.3548189401626587,0.18545417487621307,83.22785186767578,0.7953464984893799,0.7617111206054688,0.7712315917015076,-0.943134069442749,0.15393215417861938,52.67976379394531,0.7722830772399902,0.7027106285095215,0.7194055914878845,-0.43929481506347656,0.10630150139331818,203.60362243652344,0.262398898601532,0.2280302792787552,0.26809176802635193,-0.4272341728210449,0.11807636171579361,1864.447265625,0.024201851338148117,0.24925532937049866,0.19712774455547333,-0.06813859939575195,0.13319233059883118,127.15365600585938,0.40213751792907715,0.3664949834346771,0.5590360760688782,-0.290881872177124,0.1258143037557602,373.634765625,0.23945388197898865,0.23612819612026215,0.3474707305431366,-0.0904839038848877,0.11967439204454422,663.477294921875,0.8512656092643738,0.7030159831047058,0.6788280606269836,-0.1486954689025879,5.0,0.12717917561531067,0.11819801479578018,"COMPLETE"
2,0.13092011213302612,"2025-05-16 15:35:47.775821","2025-05-16 15:35:51.382687","0 days 00:00:03.606866",224,240.0,16.0,80.0,64.0,176,224.0,16.0,128.0,"",0.5,8,0.008966972974699883,5,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1853024661540985,62.34703826904297,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.8059122562408447,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13092011213302612,"","PRUNED"
3,0.12218166887760162,"2025-05-16 15:35:51.383002","2025-05-16 15:36:02.916340","0 days 00:00:11.533338",48,16.0,240.0,"","",176,128.0,176.0,16.0,96.0,0.4,10,0.0015306216216183887,3,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.19365939497947693,68.5283432006836,0.3692508041858673,0.3330690264701843,0.44785261154174805,-0.872631311416626,0.2080976516008377,670.6152954101562,0.37938088178634644,0.5262762308120728,0.6685027480125427,-0.3997143507003784,0.1790831834077835,77.42904663085938,0.6890208721160889,0.7197186350822449,0.7390839457511902,-0.8873170614242554,0.20544995367527008,85.99132537841797,0.4654545485973358,0.4957695007324219,0.5361137390136719,-0.8831017017364502,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11795920133590698,0.12218166887760162,"PRUNED"
4,0.1188063770532608,"2025-05-16 15:36:02.916677","2025-05-16 15:36:15.730804","0 days 00:00:12.814127",96,240.0,160.0,"","",128,80.0,176.0,128.0,"",0.0,12,0.00017923047275402704,3,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16071155667304993,50.262142181396484,0.3101609945297241,0.32155677676200867,0.4325575828552246,-0.5702979564666748,0.2139943242073059,1918.38037109375,0.4184630513191223,0.523931622505188,0.6977053284645081,-0.25230836868286133,0.18189933896064758,80.21775817871094,0.8720508813858032,0.8219442367553711,0.8149706721305847,-0.9079101085662842,0.13283878564834595,61.18529510498047,0.722164511680603,0.673327624797821,0.7082464098930359,-0.10608577728271484,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1170329749584198,0.1188063770532608,"PRUNED"
5,0.13473477959632874,"2025-05-16 15:36:15.731101","2025-05-16 15:36:26.050979","0 days 00:00:10.319878",144,"","","","",144,16.0,192.0,160.0,208.0,0.0,16,0.005418476018270503,1,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18811988830566406,64.29902648925781,0.31129181385040283,0.5103903412818909,0.597385823726654,-0.8267166614532471,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13473477959632874,"","PRUNED"
6,0.1172260269522667,"2025-05-16 15:36:26.051332","2025-05-16 15:36:32.411638","0 days 00:00:06.360306",224,96.0,32.0,128.0,160.0,208,64.0,208.0,80.0,"",0.2,14,0.00017439147268284627,5,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1953948438167572,70.04216003417969,0.3568630814552307,0.34280046820640564,0.518063485622406,-0.8717682361602783,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1172260269522667,"","PRUNED"
7,0.11710460484027863,"2025-05-16 15:36:32.412032","2025-05-16 15:36:35.463322","0 days 00:00:03.051290",208,208.0,80.0,"","",160,256.0,112.0,176.0,"",0.2,5,0.0006322358966466912,3,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18068130314350128,60.81647872924805,0.40910467505455017,0.38820087909698486,0.5006588697433472,-0.7348146438598633,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11710460484027863,"","PRUNED"
8,0.1251235008239746,"2025-05-16 15:36:35.463794","2025-05-16 15:36:48.157888","0 days 00:00:12.694094",240,48.0,176.0,"","",176,80.0,176.0,256.0,224.0,0.30000000000000004,14,0.004816220551792269,3,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.21861737966537476,83.98445892333984,0.2982815206050873,0.3778195381164551,0.4374624490737915,-1.1222281455993652,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1251235008239746,"","PRUNED"
9,0.12997440993785858,"2025-05-16 15:36:48.158200","2025-05-16 15:36:49.410127","0 days 00:00:01.251927",256,80.0,48.0,224.0,224.0,64,128.0,224.0,160.0,"",0.4,1,0.0234374065111719,5,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.20291632413864136,73.8960952758789,0.4791470766067505,0.3991861641407013,0.42371273040771484,-0.9626435041427612,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12997440993785858,"","PRUNED"
10,0.14510725835959118,"2025-05-16 15:36:49.410412","2025-05-16 15:36:53.340604","0 days 00:00:03.930192",176,160.0,240.0,240.0,"",16,"","","","",0.1,1,0.0006406851888198296,4,1,0.14510725835959118,443.46924006144206,0.541007939974467,0.5707914749781291,0.6202809303998947,-0.08281609217325846,0.1876256912946701,187.81919860839844,0.9992663860321045,0.9949991703033447,0.7948653101921082,-0.10574972629547119,0.18699291348457336,61.411563873291016,0.494437038898468,0.531469464302063,0.624106228351593,-0.4621390104293823,0.11324957758188248,173.06411743164062,0.7280833721160889,0.6020325422286987,0.6134395003318787,-0.02556633949279785,0.11839329451322556,76.98847961425781,0.6974535584449768,0.7124221920967102,0.6730824708938599,-0.18003129959106445,0.2281562238931656,170.9139404296875,0.21595796942710876,0.49400484561920166,0.6479923129081726,-0.2098921537399292,0.09273909777402878,118.87162780761719,0.7374967336654663,0.7101079821586609,0.7337904572486877,0.1801404356956482,0.14714612066745758,68.36386108398438,0.6881977915763855,0.6786437630653381,0.7313059568405151,0.035872578620910645,0.23210418224334717,2830.463134765625,0.23057794570922852,0.3788924515247345,0.608222484588623,-0.26026761531829834,0.15421390533447266,65.95108795166016,0.788499653339386,0.769778311252594,0.7625323534011841,-0.4748302698135376,0.1522168517112732,131.21524047851562,0.8122051358222961,0.7453052401542664,0.7903350591659546,0.18746715784072876,0.09909253567457199,317.6176452636719,0.2619667649269104,0.3823516070842743,0.46903476119041443,-0.1822870969772339,0.08148247003555298,881.3605346679688,0.0763779878616333,0.11069658398628235,0.0987238734960556,0.029422640800476074,0.1538422554731369,531.3493041992188,0.37925565242767334,0.3479193449020386,0.5175546407699585,0.012244224548339844,0.13128860294818878,563.7427978515625,0.17298534512519836,0.3324415981769562,0.38981425762176514,0.037451744079589844,0.09806515276432037,472.90606689453125,0.8323577642440796,0.7708070278167725,0.8494142889976501,0.17592334747314453,5.0,0.10692170262336731,0.11457102000713348,"COMPLETE"
11,0.14408378899097443,"2025-05-16 15:36:53.341068","2025-05-16 15:36:57.333326","0 days 00:00:03.992258",160,160.0,256.0,256.0,"",16,"","","","",0.1,1,0.0006301682382036829,4,1,0.14408378899097443,403.8955518086751,0.5600896790623665,0.5850460191567739,0.614532046020031,-0.062198833624521895,0.19560371339321136,249.59300231933594,0.4560551643371582,0.5310418009757996,0.476359486579895,-0.14100539684295654,0.1876741647720337,59.36027145385742,0.7624471187591553,0.7734932899475098,0.6527820229530334,-0.4466698169708252,0.10973090678453445,126.3223648071289,0.8439188003540039,0.7028442025184631,0.671818196773529,-0.026189208030700684,0.11136049032211304,88.12864685058594,0.5305516719818115,0.5275593996047974,0.4936341345310211,0.022288084030151367,0.22472766041755676,135.5937957763672,0.9401265978813171,0.934417188167572,0.9110295176506042,-0.20647907257080078,0.09193839877843857,111.79508972167969,0.8177868127822876,0.785356342792511,0.7847992777824402,0.16394078731536865,0.14243900775909424,66.09727478027344,0.5367836356163025,0.6374209523200989,0.7154961228370667,0.07263195514678955,0.2323019653558731,2122.162353515625,0.28935056924819946,0.3975885212421417,0.6121250987052917,-0.29194605350494385,0.17254464328289032,77.35526275634766,0.7814634442329407,0.811989426612854,0.7889424562454224,-0.6270664930343628,0.13142603635787964,83.18230438232422,0.7952409982681274,0.7427998185157776,0.705133318901062,0.14694535732269287,0.10018610954284668,194.5787811279297,0.24664604663848877,0.3552872836589813,0.5052008628845215,-0.2727435827255249,0.08878375589847565,1094.58544921875,0.1054825559258461,0.10900640487670898,0.11272627860307693,0.08523702621459961,0.13869328796863556,474.7668762207031,0.7185295224189758,0.5979946255683899,0.6806303858757019,0.21820223331451416,0.137004092335701,650.8632202148438,0.17648498713970184,0.26181837916374207,0.36996325850486755,0.07017934322357178,0.09684260189533234,524.048583984375,0.40047726035118103,0.607072651386261,0.7373402714729309,0.2996923327445984,5.0,0.11078137904405594,0.1145024225115776,"COMPLETE"
12,0.14518163402875264,"2025-05-16 15:36:57.333771","2025-05-16 15:37:01.337991","0 days 00:00:04.004220",160,160.0,256.0,256.0,"",16,"","","","",0.1,4,0.0010676148029181431,4,1,0.14518163402875264,457.80741551717125,0.57613552014033,0.5665880004564922,0.6079948340853055,-0.054708973566691084,0.18022702634334564,183.73831176757812,0.9992663860321045,0.8124838471412659,0.7552504539489746,0.023386240005493164,0.15041609108448029,59.41010665893555,0.9779908657073975,0.8475826382637024,0.8102991580963135,0.10725235939025879,0.11224021762609482,139.13232421875,0.8210175633430481,0.7028419375419617,0.6300702691078186,-0.0763481855392456,0.1125355139374733,119.4636459350586,0.6111930012702942,0.6954984664916992,0.685495913028717,0.14530885219573975,0.2217186838388443,186.12680053710938,0.7834227085113525,0.8359742760658264,0.704678475856781,-0.09895062446594238,0.09959705919027328,144.94544982910156,0.5533342957496643,0.5908742547035217,0.601856529712677,0.03860694169998169,0.15262332558631897,66.5270004272461,0.7047153115272522,0.6792882084846497,0.6808900833129883,-0.0668402910232544,0.26228067278862,3212.434326171875,0.22460032999515533,0.42289116978645325,0.6021906733512878,-0.4371393918991089,0.16920794546604156,73.20915985107422,0.7668712735176086,0.6749057173728943,0.6862193942070007,-0.625285267829895,0.14593477547168732,106.46060943603516,0.8622735142707825,0.7311843037605286,0.7672814130783081,0.1706697940826416,0.10739381611347198,144.2776641845703,0.22242802381515503,0.23047609627246857,0.3879622220993042,-0.41919541358947754,0.07476732134819031,695.6057739257812,0.056056275963783264,0.0915105789899826,0.11411427706480026,0.055465877056121826,0.15013179183006287,550.8977661132812,0.4332073926925659,0.41306501626968384,0.6063817739486694,0.12909561395645142,0.14048445224761963,674.9703369140625,0.1728699505329132,0.2521781027317047,0.35083580017089844,0.02003556489944458,0.09816581755876541,509.9119567871094,0.4527859091758728,0.5180653929710388,0.736396074295044,0.2133033275604248,5.0,0.10306256264448166,0.10730692744255066,"COMPLETE"
13,0.11698946356773376,"2025-05-16 15:37:01.338420","2025-05-16 15:37:01.876654","0 days 00:00:00.538234",176,160.0,208.0,176.0,"",16,"","","","",0.1,5,0.000548904774306363,4,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.146175816655159,68.79961395263672,0.5937848687171936,0.6329517364501953,0.6452264189720154,0.0578153133392334,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11698946356773376,"","PRUNED"
14,0.11229901015758514,"2025-05-16 15:37:01.876920","2025-05-16 15:37:03.950491","0 days 00:00:02.073571",96,192.0,224.0,256.0,"",64,176.0,"","","",0.1,2,0.002042522887177407,4,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16537800431251526,56.56348419189453,0.7382091283798218,0.7008876800537109,0.7373097538948059,-0.48370110988616943,0.23923052847385406,3902.951416015625,0.35361289978027344,0.4998399615287781,0.6788239479064941,-0.062018513679504395,0.189431294798851,87.22647094726562,0.33011627197265625,0.38632437586784363,0.5265288949012756,-0.9881813526153564,0.13234633207321167,63.42986297607422,0.22870248556137085,0.39260584115982056,0.5087906122207642,-0.07455611228942871,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1094428151845932,0.11229901015758514,"PRUNED"
15,0.11448326706886292,"2025-05-16 15:37:03.950772","2025-05-16 15:37:05.650252","0 days 00:00:01.699480",112,128.0,112.0,176.0,"",64,192.0,"","","",0.2,7,0.00044079493980723333,4,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1628173291683197,63.530338287353516,0.40801697969436646,0.40660902857780457,0.5094521641731262,-0.4208167791366577,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11448326706886292,"","PRUNED"
16,0.12806986272335052,"2025-05-16 15:37:05.650541","2025-05-16 15:37:06.650227","0 days 00:00:00.999686",192,144.0,208.0,32.0,"",96,160.0,"","","",0.0,3,0.00011309722545745624,4,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1794659048318863,61.389183044433594,0.3768101632595062,0.42559847235679626,0.5650666356086731,-0.6916532516479492,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12806986272335052,"","PRUNED"
17,0.11416611075401306,"2025-05-16 15:37:06.650517","2025-05-16 15:37:07.124290","0 days 00:00:00.473773",128,192.0,"","","",32,"","","","",0.30000000000000004,6,0.00107315203635109,2,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18924756348133087,73.28610229492188,0.7975636720657349,0.7061753273010254,0.7322999238967896,-0.6118142604827881,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11416611075401306,"","PRUNED"
18,0.11720454692840576,"2025-05-16 15:37:07.124552","2025-05-16 15:37:07.930169","0 days 00:00:00.805617",48,128.0,"","","",48,256.0,80.0,"","",0.1,1,0.00036400906831025794,2,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15471942722797394,48.52328872680664,0.3101609945297241,0.3621177673339844,0.5596593022346497,-0.48049914836883545,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11720454692840576,"","PRUNED"
